YearsExperience,Salary
5.0,102582.0
2.1,111244.0
2.1,90944.0
6.5,95729.0
11.4,117102.0
10.9,132441.0
7.6,124338.0
5.1,85792.0
0.4,70331.0
0.9,101938.0
11.4,126687.0
4.7,96364.0
0.0,85927.0
0.5,61764.0
5.4,100447.0
0.0,83473.0
0.9,83564.0
4.0,86239.0
5.9,105405.0
5.3,93287.0
1.3,88933.0
6.2,100947.0
1.4,75705.0
2.0,77333.0
6.9,109679.0
5.2,107878.0
9.5,111773.0
5.4,96876.0
4.2,88821.0
0.5,86153.0
2.3,82888.0
1.5,107166.0
1.4,75724.0
18.1,160743.0
2.5,89625.0
11.1,124075.0
5.0,115519.0
7.9,116847.0
3.5,90513.0
4.3,92415.0
3.4,102809.0
1.1,97502.0
6.4,94615.0
1.6,76676.0
0.1,78656.0
5.2,93310.0
1.0,85642.0
14.1,142830.0
15.4,139212.0
12.3,124747.0
2.3,88704.0
0.1,94217.0
13.2,107285.0
2.8,88736.0
17.0,147590.0
16.6,146931.0
9.6,114845.0
1.7,74898.0
2.4,94728.0
9.5,111717.0
1.9,81253.0
0.9,79675.0
4.1,90254.0
13.8,123502.0
6.0,83255.0
4.2,100837.0
0.5,86449.0
4.8,103702.0
23.1,162429.0
0.8,85878.0
3.7,88358.0
10.5,129740.0
6.8,112487.0
6.0,92077.0
6.1,98936.0
2.2,95968.0
1.7,95207.0
8.3,119026.0
8.3,111952.0
10.1,124301.0
12.2,135794.0
3.6,93108.0
3.5,91461.0
8.0,124277.0
5.2,99293.0
6.1,97186.0
7.9,106084.0
11.0,122723.0
2.1,90785.0
2.4,92548.0
0.5,83740.0
4.3,112590.0
0.2,86982.0
3.1,90405.0
3.9,101700.0
1.7,81150.0
4.5,94533.0
0.2,100284.0
0.2,77916.0
8.6,103999.0
2.2,83643.0
0.7,77193.0
3.7,85482.0
7.3,101426.0
1.2,74015.0
4.9,97295.0
0.4,90388.0
0.3,66028.0
3.8,106844.0
3.9,99006.0
5.1,110525.0
6.5,104987.0
18.6,150866.0
3.6,84795.0
2.0,92572.0
7.9,114945.0
1.6,93756.0
2.9,78265.0
0.4,69059.0
0.1,91808.0
16.4,131983.0
9.0,117206.0
6.0,89363.0
2.6,99565.0
1.0,78290.0
0.9,88688.0
1.4,92675.0
4.0,87926.0
6.3,113046.0
5.4,100754.0
1.6,82319.0
15.5,125532.0
6.7,84009.0
4.0,100947.0
4.7,86692.0
2.7,87173.0
1.4,88362.0
2.2,95043.0
7.1,107114.0
0.1,78594.0
0.6,88385.0
0.2,81590.0
0.2,86039.0
9.7,119064.0
6.1,94845.0
3.2,94114.0
0.5,88100.0
3.4,88637.0
3.2,91907.0
1.0,86136.0
2.8,87614.0
2.5,95021.0
4.8,114841.0
5.0,112104.0
0.2,69312.0
2.3,89617.0
4.9,106351.0
3.5,100244.0
9.7,121738.0
5.4,120268.0
0.9,90110.0
0.4,84764.0
5.1,111591.0
0.1,82989.0
4.4,97261.0
14.1,129069.0
4.3,113097.0
2.5,76303.0
5.2,113169.0
3.1,98679.0
3.9,83976.0
14.2,138251.0
2.4,68220.0
16.2,154214.0
11.8,135772.0
1.1,77141.0
0.4,79158.0
0.5,95683.0
0.1,81384.0
0.5,68729.0
5.7,115663.0
0.4,99871.0
1.9,86300.0
9.3,118382.0
0.1,89212.0
8.4,111030.0
1.7,85028.0
0.6,94777.0
6.0,114580.0
5.0,101953.0
10.5,115511.0
6.6,120126.0
8.1,106782.0
1.7,87679.0
1.0,91589.0
6.9,118903.0
8.2,119242.0
23.3,168809.0
2.7,91066.0
2.3,84388.0
7.5,118115.0
2.1,64844.0
13.4,129997.0
9.8,121621.0
2.8,79732.0
6.9,114761.0
7.0,110214.0
0.5,96794.0
11.6,141114.0
3.5,92224.0
8.8,116133.0
1.9,89378.0
11.3,119227.0
2.5,82760.0
0.1,75464.0
11.8,122445.0
0.5,88632.0
1.9,93556.0
15.0,132615.0
15.0,140063.0
4.3,93637.0
5.0,102725.0
3.0,96713.0
1.7,88241.0
2.0,86088.0
5.6,95099.0
7.0,106478.0
7.8,103893.0
7.8,108217.0
0.5,74586.0
3.4,76881.0
0.3,75361.0
4.0,94971.0
2.9,89821.0
10.9,113588.0
2.2,86566.0
0.6,89366.0
0.8,92486.0
7.2,97862.0
4.8,85064.0
0.5,72264.0
0.4,80272.0
6.0,102035.0
0.4,80410.0
8.6,101561.0
6.1,99781.0
0.4,85271.0
0.4,88330.0
21.6,157721.0
2.3,85336.0
2.3,78826.0
8.4,112518.0
14.7,129323.0
21.3,170975.0
7.0,89563.0
2.4,82143.0
0.4,85629.0
7.5,112271.0
4.1,120024.0
2.8,93088.0
11.8,115058.0
0.6,79666.0
3.4,74460.0
0.1,78435.0
3.2,90946.0
0.3,89313.0
0.6,74034.0
0.6,85796.0
5.2,96376.0
6.9,122181.0
4.4,98100.0
16.4,155430.0
2.3,94603.0
1.7,85467.0
10.1,126780.0
1.3,86990.0
16.5,133429.0
0.1,80449.0
17.5,152511.0
0.2,76719.0
11.1,112788.0
3.8,99071.0
24.8,189123.0
0.4,91595.0
4.0,101754.0
17.4,157482.0
3.7,91028.0
5.0,87719.0
5.9,89574.0
3.0,105753.0
4.9,96678.0
4.4,91723.0
11.6,124631.0
0.2,91143.0
1.6,99438.0
15.0,158600.0
11.0,118028.0
3.0,88915.0
4.8,83657.0
1.6,98745.0
1.0,75158.0
3.1,96264.0
2.2,83832.0
4.4,87259.0
0.4,80872.0
18.3,143127.0
21.4,159357.0
